Periodo;c1;c2;c3;c4;c5;c6;c7
2018 | Gastos efectuados en campaña O;2016;Oct - Dic;Alcaldes;na;Pesos;94.277.798;Aprobado
2018 | Gastos efectuados en campaña O;2016;Oct - Dic;Concejales;na;Pesos;124.115.841;Aprobado
2018 | Enero - Marzo;2018;Ene - Mar;n/a;n/a;peso;0;n/a
2018 | Abril - Junio;2018;Abr - Jun;n/a;n/a;peso;0;n/a
2018 | Julio - Septiembre;2018;Jul - Sep;n/a;n/a;peso;0;n/a
2018 | Octubre - Diciembre;2018;Oct - Dic;n/a;n/a;peso;0;n/a
2019 | Gastos efectuados en campaña O;2016;Oct - Dic;Alcaldes;na;Pesos;94.277.798;Aprobado
2019 | Gastos efectuados en campaña O;2016;Oct - Dic;Concejales;na;Pesos;124.115.841;Aprobado
2019 | Octubre - Diciembre;2019;Oct - Dic;n/a;n/a;peso;0;n/a
2020 | Gastos efectuados en campaña O;2016;Oct - Dic;Alcaldes;na;Pesos;94.277.798;Aprobado
2020 | Gastos efectuados en campaña O;2016;Oct - Dic;Concejales;na;Pesos;124.115.841;Aprobado
2020 | Enero - Marzo;2020;Enero - Marzo;n/a;n/a;peso;0;n/a
2020 | Abril - Junio;2020;Abril-Junio;n/a;n/a;peso;0;n/a
2020 | Julio - Septiembre;2020;Jul - Sep;Plebiscito;Franja Televisiva;Pesos;3.500.000;Por aprobar
2020 | Julio - Septiembre;2020;Jul - Sep;Plebiscito;Afiches publicitarios;Pesos;14.875;Por aprobar
2020 | Julio - Septiembre;2020;Jul - Sep;Plebiscito;Afiches publicitarios;Pesos;14.875;Por aprobar
2020 | Julio - Septiembre;2020;Jul - Sep;Plebiscito;Afiches publicitarios;Pesos;205.870;Por aprobar
2020 | Julio - Septiembre;2020;Jul - Sep;Plebiscito;Publicida radial;Pesos;190.400;Por aprobar
2020 | Julio - Septiembre;2020;Jul - Sep;Plebiscito;Publicida radial;Pesos;190.400;Por aprobar
2020 | Octubre - Diciembre;2020;Oct - Dic;Plebiscito;Publicidad radial;Pesos;5.716.021;Por aprobar
2020 | Octubre - Diciembre;2020;Oct - Dic;Plebiscito;Publicidad redes sociales;Pesos;1.600.000;Por aprobar
2021 | Gastos efectuados en campaña O;2016;Oct - Dic;Alcaldes;na;Pesos;94.277.798;Aprobado
2021 | Gastos efectuados en campaña O;2016;Oct - Dic;Concejales;na;Pesos;124.115.841;Aprobado
2021 | Enero - Marzo;2021;Ene-Mar;Gobernador Regional;Aportes a candidatos;Pesos;37.500.000;Por aprobar
2021 | Enero - Marzo;2021;Ene-Mar;Gobernador Regional;Honorarios;Pesos;3.405.555;Por aprobar
2021 | Enero - Marzo;2021;Ene-Mar;Gobernador Regional;Publicidad electoral;Pesos;1.142.757;Por aprobar
2021 | Enero - Marzo;2021;Ene-Mar;Convencionales Constituyentes;Aportes a candidatos;Pesos;129.800.000;Por aprobar
2021 | Enero - Marzo;2021;Ene-Mar;Convencionales Constituyentes;Honorarios;Pesos;3.144.446;Por aprobar
2021 | Enero - Marzo;2021;Ene-Mar;Convencionales Constituyentes;Publicidad electoral;Pesos;1.291.150;Por aprobar
2021 | Enero - Marzo;2021;Ene-Mar;Alcalde;Aportes a candidatos;Pesos;94.340.000;Por aprobar
2021 | Enero - Marzo;2021;Ene-Mar;Alcalde;Honorarios;Pesos;1.205.556;Por aprobar
2021 | Enero - Marzo;2021;Ene-Mar;Concejales;Aportes a candidatos;Pesos;116.150.297;Por aprobar
2021 | Enero - Marzo;2021;Ene-Mar;Concejales;Honorarios;Pesos;1.589.000;Por aprobar
2021 | Enero - Marzo;2021;Ene-Mar;Concejales;Publicidad electoral;Pesos;6.842.091;Por aprobar
2021 | Abril - Junio;2021;Abr-Jun;Gobernador Regional;Honorarios;Pesos;1.700.001;Por aprobar
2021 | Abril - Junio;2021;Abr-Jun;Gobernador Regional;Publicidad electoral;Pesos;2.306.582;Por aprobar
2021 | Abril - Junio;2021;Abr-Jun;Convencionales Constituyentes;Honorarios;Pesos;4.656.682;Por aprobar
2021 | Abril - Junio;2021;Abr-Jun;Convencionales Constituyentes;Publicidad electoral;Pesos;25.221.067;Por aprobar
